"LAST_UPDATE","US_Colorado","US_Minnesota","US_Oklahoma","US_Texas","US_Wisconsin"
"2020-03-23T00:00","704","234","81","758","425"
"2020-03-24T00:00","723","261","106","955","481"
"2020-03-25T00:00","1021","286","164","1229","621"
"2020-03-26T00:00","1430","344","248","1563","728"
"2020-03-27T00:00","1433","396","322","1937","926"
"2020-03-28T00:00","1740","441","377","2455","1055"
"2020-03-29T00:00","2307","503","429","2792","1164"
"2020-03-30T00:00","2311","576","481","3147","1230"
"2020-03-31T00:00","2966","629","568","3809","1412"
"2020-04-01T00:00","2982","689","721","4355","1556"
"2020-04-02T00:00","3342","742","881","5069","1748"
"2020-04-03T00:00","3742","788","990","5734","2012"
"2020-04-04T00:00","4188","865","1161","6567","2030"
"2020-04-05T00:00","4950","935","1254","7209","2320"
"2020-04-06T00:00","5183","986","1329","8043","2449"
"2020-04-07T00:00","5429","1069","1474","8925","2578"
"2020-04-08T00:00","5655","1154","1526","9777","2710"
"2020-04-09T00:00","5655","1240","1686","11208","2886"
"2020-04-10T00:00","6202","1336","1794","12105","3068"
"2020-04-11T00:00","6513","1427","1868","13023","3213"
"2020-04-12T00:00","7307","1621","1970","13677","3341"
"2020-04-13T00:00","7691","1621","2069","14275","3428"
"2020-04-14T00:00","7950","1695","2184","15006","3555"
"2020-04-15T00:00","7956","1809","2263","15907","3721"
"2020-04-16T00:00","8286","1809","2357","16876","3875"
"2020-04-17T00:00","8691","2070","2465","17849","4053"
"2020-04-18T00:00","9047","2209","2465","18704","4199"
"2020-04-19T00:00","9730","2356","2567","19260","4346"
"2020-04-20T00:00","9730","2470","2680","19751","4499"
"2020-04-21T00:00","10473","2567","2807","20574","4625"
"2020-04-22T00:00","10891","2722","2894","21321","4845"
"2020-04-24T00:00","11278","2942","3017","22650","5052"
"2020-04-25T00:00","12256","3185","3121","23642","5356"
"2020-04-26T00:00","12968","3446","3194","24153","5687"
"2020-04-27T00:00","13441","3602","3254","24967","5912"
"2020-04-28T00:00","13879","3811","3281","25321","6081"
"2020-04-29T00:00","14316","4181","3410","26357","6289"
"2020-04-30T00:00","14758","4644","3473","27257","6520"
"2020-05-01T00:00","15284","5136","3618","28727","6854"
"2020-05-02T00:00","15793","5730","3748","29692","7314"
"2020-05-03T00:00","16225","6232","3851","30917","7660"
"2020-05-04T00:00","16635","6663","3972","31998","7964"
"2020-05-05T00:00","16918","7234","4044","32783","8236"
"2020-05-06T00:00","17367","7851","4127","33912","8566"
"2020-05-07T00:00","17832","8579","4202","34928","8901"
"2020-05-08T00:00","18370","9365","4330","36036","9215"
"2020-05-09T00:00","18827","10088","4424","37246","9590"
"2020-05-10T00:00","19375","10790","4490","38394","9939"
"2020-05-11T00:00","19703","11271","4589","39258","10219"
"2020-05-12T00:00","19879","11799","4613","40555","10418"
"2020-05-13T00:00","20157","12494","4732","41432","10611"
"2020-05-14T00:00","20475","12917","4858","43020","10902"
"2020-05-15T00:00","20838","13435","4963","44480","11275"
"2020-05-16T00:00","21232","14240","5087","45721","11685"
"2020-05-17T00:00","21633","14969","5237","47452","12187"
"2020-05-18T00:00","21938","15668","5310","48396","12543"
"2020-05-19T00:00","22202","16372","5398","49177","12687"
"2020-05-20T00:00","22482","17029","5489","50552","12885"
"2020-05-21T00:00","22797","17670","5532","51673","13413"
"2020-05-22T00:00","23191","18200","5680","53053","13885"
"2020-05-23T00:00","23487","19005","5849","53539","14396"
"2020-05-24T00:00","23964","19845","5960","54776","14877"
"2020-05-25T00:00","24174","20573","6037","55861","15277"
"2020-05-26T00:00","24256","21315","6090","56409","15584"
